   34785000.000000000        69570000.000000000       -10160888237530114.       -1.7672324867124249E+023
         283   9844155000.0000000        9809370000.0000000        10371679877204236.       -7.0039665529464145E+024
         284   9878940000.0000000        9844155000.0000000        9771553998879856.0       -6.6640630470953788E+024
         285   9913725000.0000000        9878940000.0000000        9204936915210324.0       -6.3438693164997875E+024
         286   9948510000.0000000        9913725000.0000000        8671640579843601.0       -6.0422262989299275E+024
         287   9983295000.0000000        9948510000.0000000        8166827964677010.0       -5.7581431881786381E+024
         288   10018080000.000000        9983295000.0000000        7691715128104254.0       -5.4905868774475317E+024
         289   10052865000.000000        10018080000.000000        7242212476355956.0       -5.2386665164574893E+024
         290   10087650000.000000        10052865000.000000        6819392845831262.0       -5.0014539363152488E+024
         291   10122435000.000000        10087650000.000000        6420467816143500.0       -4.7781179633306972E+024
         292   10157220000.000000        10122435000.000000        6044138104119244.0       -4.5678726193789092E+024
         293   10192005000.000000        10157220000.000000        5689270821948687.0       -4.3699713338374240E+024
         294   10226790000.000000        10192005000.000000        5355619403122602.0       -4.1836761128998042E+024
         295   10261575000.000000        10226790000.000000        5040073109941669.0       -4.0083571697704831E+024
         296   10296360000.000000        10261575000.000000        4742563686142586.0       -3.8433870919480132E+024
         297   10331145000.000000        10296360000.000000        4462949070408325.0       -3.6881434085338594E+024
         298   10365930000.000000        10331145000.000000        4198605409767009.5       -3.5420949193551140E+024
         299   10400715000.000000        10365930000.000000        3950237861139498.0       -3.4046858953553766E+024
         300   10435500000.000000        10400715000.000000        3716146411511828.0       -3.2754197424309378E+024
         301   10470285000.000000        10435500000.000000        3495597212561281.0       -3.1538253933919938E+024
         302   10505070000.000000        10470285000.000000        3286852339344879.0       -3.0394922347678822E+024
         303   10539855000.000000        10505070000.000000        3091115178218391.0       -2.9319677932935553E+024
         304   10574640000.000000        10539855000.000000        2906812386677285.5       -2.8308543244229861E+024
         305   10609425000.000000        10574640000.000000        2733169879786932.0       -2.7357810101545977E+024
