   34785000.000000000        69570000.000000000                            NaN                       NaN
         240   8348400000.0000000        8313615000.0000000       -0.0000000000000000                            NaN
         241   8383185000.0000000        8348400000.0000000       -0.0000000000000000                            NaN
         242   8417970000.0000000        8383185000.0000000       -0.0000000000000000                            NaN
         243   8452755000.0000000        8417970000.0000000       -0.0000000000000000                            NaN
         244   8487540000.0000000        8452755000.0000000       -0.0000000000000000                            NaN
         245   8522325000.0000000        8487540000.0000000       -0.0000000000000000                            NaN
         246   8557110000.0000000        8522325000.0000000       -0.0000000000000000                            NaN
         247   8591895000.0000000        8557110000.0000000       -0.0000000000000000                            NaN
         248   8626680000.0000000        8591895000.0000000       -0.0000000000000000                            NaN
         249   8661465000.0000000        8626680000.0000000       -0.0000000000000000                            NaN
         250   8696250000.0000000        8661465000.0000000       -0.0000000000000000                            NaN
         251   8731035000.0000000        8696250000.0000000       -0.0000000000000000                            NaN
         252   8765820000.0000000        8731035000.0000000       -0.0000000000000000                            NaN
         253   8800605000.0000000        8765820000.0000000       -0.0000000000000000                            NaN
         254   8835390000.0000000        8800605000.0000000       -0.0000000000000000                            NaN
         255   8870175000.0000000        8835390000.0000000       -0.0000000000000000                            NaN
         256   8904960000.0000000        8870175000.0000000       -0.0000000000000000                            NaN
         257   8939745000.0000000        8904960000.0000000       -0.0000000000000000                            NaN
         258   8974530000.0000000        8939745000.0000000       -0.0000000000000000                            NaN
         259   9009315000.0000000        8974530000.0000000       -0.0000000000000000                            NaN
         260   9044100000.0000000        9009315000.0000000       -0.0000000000000000                            NaN
         261   9078885000.0000000        9044100000.0000000       -0.0000000000000000                            NaN
         262   9113670000.0000000        9078885000.0000000       -0.0000000000000000                            NaN
         263   9148455000.0000000        9113670000.0000000       -0.0000000000000000                            NaN
         264   9183240000.0000000        9148455000.0000000       -0.0000000000000000                            NaN
         265   9218025000.0000000        9183240000.0000000       -0.0000000000000000                            NaN
         266   9252810000.0000000        9218025000.0000000       -0.0000000000000000                            NaN
         267   9287595000.0000000        9252810000.0000000       -0.0000000000000000                            NaN
         268   9322380000.0000000        9287595000.0000000       -0.0000000000000000                            NaN
         269   9357165000.0000000        9322380000.0000000       -0.0000000000000000                            NaN
         270   9391950000.0000000        9357165000.0000000       -0.0000000000000000                            NaN
         271   9426735000.0000000        9391950000.0000000       -0.0000000000000000                            NaN
