Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
510.9361859884993,44463717.011944786,502.4702201370964,1103545.1899066584,509.88042121495147,68791.73074874256,,,,,481.4103941672815,45590128.66952246,,,,,526.4315032403715,389379.0044074242,,,,,,,,,,,,,,,,
537.0478788336947,40979487.293821275,528.1525194634581,1000664.7310026427,534.7282035236651,62742.58816544246,,,,,503.0371543274948,42532266.047625236,,,,,554.505497485015,359120.6831096528,,,,,,,,,,,,,,,,
564.4944197389386,37698873.648128904,560.2022707245535,889788.4381971163,565.892740532956,56185.62014550531,,,,,529.8109346576568,39091532.90855165,,,,,584.9000094590381,331317.9819909771,,,,,,,,,,,,,,,,
593.3439311579522,34638044.63427959,588.8356059521643,806005.2019498814,593.9183840358294,51207.75278965544,,,,,558.9937932217289,35838784.62967808,,,,,615.1002473688961,306438.4119514527,,,,,,,,,,,,,,,,
623.6667223415205,31977368.397653725,618.9324623561472,730111.0664986534,625.2186497897549,46269.328582484886,,,,,591.8241485863882,32609416.372418568,,,,,644.9093538884077,284141.720096061,,,,,,,,,,,,,,,,
655.5401619512396,29402271.411554478,650.8625891205625,660614.1848411091,657.1748769746079,41955.76734250579,,,,,622.9765710356234,29952550.117644686,,,,,678.1746876386547,262044.80432866965,,,,,,,,,,,,,,,,
689.0435444824035,26931300.776838593,688.0942272790822,591347.6491283638,690.7644534785093,38044.3474592546,,,,,652.5934532024434,27668473.276206087,,,,,720.0831084773835,237772.89120876053,,,,,,,,,,,,,,,,
724.2582473859565,24755270.035344522,722.036125265224,537946.9161789077,726.0705788782802,34533.1340864258,,,,,685.9455061336143,25414172.489920318,,,,,756.4261064808239,219461.48257900376,,,,,,,,,,,,,,,,
761.2733156247302,22703215.354215585,760.08869211638,485511.82082042954,763.1814087592807,31329.838644475592,,,,,717.7429869347433,23476176.472868077,,,,,791.3698256333938,203724.0183844023,,,,,,,,,,,,,,,,
800.1779402121667,20971947.458390977,798.094124696678,441068.5143306184,802.1893569143156,28394.415745603463,,,,,761.2931390392832,21200021.355595917,,,,,836.096339659236,185892.6822961881,,,,,,,,,,,,,,,,
841.0767010765885,19016790.933434654,838.1266602150731,400340.5145732205,843.1909254750831,25747.283078144523,,,,,808.7066961795858,19072376.941946384,,,,,871.9699165743896,173112.6682387156,,,,,,,,,,,,,,,,
884.0631133865206,17386604.657023944,881.3650105932124,362009.5902155236,881.7809102215559,23603.87680923522,,,,,850.6796119525006,17485392.839351296,,,,,922.9043836549738,156924.19532890336,,,,,,,,,,,,,,,,
929.2452356767106,15953580.644342098,922.2247691021029,331109.472834378,931.5874740327434,21214.02707927861,,,,,902.9797277096206,15671245.243726395,,,,,969.1430932791784,144602.24520789538,,,,,,,,,,,,,,,,
976.7347753941837,14706685.162686054,968.8135584345488,299831.09508692165,974.7756335456112,19397.70612039693,,,,,963.5741739895166,13979161.034996673,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,990.1293061562791,13397584.243436098,,,,,,,,,,,,,,,,,,,,,,
